poi_name,poi_alias,city,district,poi_type,tags,recommended_duration_minutes,best_time,avoid_time,price_level,estimated_cost_low,estimated_cost_high,indoor_outdoor,suitable_for,avoid_tips,nearby_area,amap_poi_id,longitude,latitude,source,confidence
洪崖洞,洪崖洞民俗风貌区,重庆,渝中区,夜景,"夜景|拍照|经典打卡|人多",90,晚上,节假日晚上,free,0,50,outdoor,"第一次来重庆|情侣|拍照用户",节假日人流极大，不建议白天专门前往，适合晚上远景拍照,解放碑片区,,,,manual,0.85
解放碑,解放碑步行街,重庆,渝中区,商圈,"经典打卡|商圈|美食|交通便利",90,全天,节假日高峰,free,0,100,outdoor,"第一次来重庆|朋友|购物用户",本身游玩时间不长，更适合作为周边路线起点,解放碑片区,,,,manual,0.85
八一好吃街,八一路好吃街,重庆,渝中区,餐饮,"美食|小吃|低预算|人多",75,中午,晚上|饭点高峰,low,30,80,outdoor,"美食用户|低预算用户|朋友",热门小吃集中但排队较多，建议避开正饭点,解放碑片区,,,,manual,0.82
千厮门大桥,千厮门嘉陵江大桥,重庆,渝中区,拍照点,"夜景|拍照|洪崖洞机位|步行",45,晚上,节假日晚上,free,0,0,outdoor,"拍照用户|情侣|第一次来重庆",适合拍洪崖洞远景，但节假日桥面人流较大,解放碑片区,,,,manual,0.82
山城步道,重庆山城步道,重庆,渝中区,citywalk,"citywalk|历史人文|拍照|步行",120,上午|下午,"雨天|高温中午",free,0,30,outdoor,"citywalk用户|拍照用户|人文用户",台阶较多，穿舒适鞋，雨天不建议安排,山城步道片区,,,,manual,0.86
十八梯,十八梯传统风貌区,重庆,渝中区,景点,"历史人文|拍照|商业街区|夜景",90,下午|晚上,节假日晚上,free,0,80,mixed,"第一次来重庆|拍照用户|人文用户",商业化程度较高，适合与山城步道或解放碑串联,山城步道片区,,,,manual,0.82
白象居,白象居居民楼,重庆,渝中区,拍照点,"拍照|老重庆|居民楼|电影感",60,上午|下午,居民休息时段,free,0,0,outdoor,"拍照用户|城市探索用户",居民区拍照需保持安静，不建议大声喧哗或长时间停留,解放碑片区,,,,manual,0.78
湖广会馆,重庆湖广会馆,重庆,渝中区,人文景点,"历史人文|建筑|室内外结合",90,上午|下午,闭馆前,medium,25,50,mixed,"人文用户|亲子用户|第一次来重庆",需注意开放时间，适合与解放碑片区串联,解放碑片区,,,,manual,0.80
来福士,重庆来福士广场,重庆,渝中区,商圈,"商圈|购物|拍照|室内",90,下午|晚上,周末高峰,medium,50,200,indoor,"购物用户|雨天用户|轻松游用户",消费偏中高，适合作为雨天或休息点,朝天门片区,,,,manual,0.80
朝天门广场,朝天门,重庆,渝中区,景点,"两江交汇|地标|拍照|江景",60,下午|晚上,高温中午,free,0,0,outdoor,"第一次来重庆|拍照用户",广场游玩内容有限，建议与来福士或两江夜景组合,朝天门片区,,,,manual,0.78
鹅岭二厂,鹅岭二厂文创公园,重庆,渝中区,拍照点,"拍照|文创|电影感|年轻人",90,下午,节假日高峰,low,0,80,mixed,"拍照用户|情侣|朋友",节假日人多，部分机位需要排队,鹅岭片区,,,,manual,0.85
李子坝,李子坝轻轨站,重庆,渝中区,拍照点,"轻轨穿楼|拍照|经典打卡",45,上午|下午,节假日高峰,free,0,0,outdoor,"第一次来重庆|拍照用户",停留时间不宜过长，适合与鹅岭二厂串联,鹅岭片区,,,,manual,0.84
三峡博物馆,重庆中国三峡博物馆,重庆,渝中区,博物馆,"历史人文|室内|雨天友好|亲子",120,上午|下午,闭馆前,free,0,0,indoor,"人文用户|亲子用户|雨天用户",需关注预约和开放时间，适合作为雨天替代点,人民广场片区,,,,manual,0.84
人民大礼堂,重庆人民大礼堂,重庆,渝中区,人文景点,"建筑|拍照|历史人文",60,上午|下午,大型活动期间,low,0,40,mixed,"人文用户|拍照用户",适合与三峡博物馆一起安排,人民广场片区,,,,manual,0.80
观音桥,观音桥步行街,重庆,江北区,商圈,"商圈|美食|夜生活|购物",120,下午|晚上,周末晚上,medium,50,200,outdoor,"朋友|情侣|美食用户",周末夜间人流较大，适合作为晚上休闲点,观音桥片区,,,,manual,0.84
观音桥好吃街,观音桥好吃街,重庆,江北区,餐饮,"美食|小吃|夜市|低预算",75,晚上,饭点高峰,low,30,100,outdoor,"美食用户|朋友|低预算用户",人流密集，注意排队时间,观音桥片区,,,,manual,0.82
北仓文创街区,北仓文创园,重庆,江北区,citywalk,"文创|咖啡|拍照|轻松",90,下午,周末高峰,low,30,100,mixed,"拍照用户|情侣|轻松游用户",更适合慢逛，不适合作为核心景点单独远距离前往,观音桥片区,,,,manual,0.78
