nearby_area,poi_count,districts,poi_types,poi_names
解放碑片区,8,渝中区:8,夜景:1|商圈:1|餐饮:2|拍照点:2|人文景点:1|景点:1,洪崖洞|解放碑|八一好吃街|千厮门大桥|白象居|湖广会馆|较场口夜市|长江索道
观音桥片区,3,江北区:3,商圈:1|餐饮:1|citywalk:1,观音桥|观音桥好吃街|北仓文创街区
南滨路片区,3,南岸区:3,夜景:1|citywalk:2,南滨路|龙门浩老街|弹子石老街
山城步道片区,2,渝中区:2,citywalk:1|景点:1,山城步道|十八梯
朝天门片区,2,渝中区:2,商圈:1|景点:1,来福士|朝天门广场
鹅岭片区,2,渝中区:2,拍照点:2,鹅岭二厂|李子坝
人民广场片区,2,渝中区:2,博物馆:1|人文景点:1,三峡博物馆|人民大礼堂
大学城片区,2,沙坪坝区:2,博物馆:1|拍照点:1,罗中立美术馆|川美虎溪校区
黄桷坪片区,2,九龙坡区:2,餐饮:1|citywalk:1,交通茶馆|黄桷坪涂鸦街
江北嘴片区,2,江北区:2,亲子:1|商圈:1,重庆科技馆|江北嘴
沙坪坝片区,1,沙坪坝区:1,景点:1,磁器口
杨家坪片区,1,九龙坡区:1,亲子:1,重庆动物园
