poi_name,poi_alias,city,district,poi_type,tags,recommended_duration_minutes,best_time,avoid_time,price_level,estimated_cost_low,estimated_cost_high,indoor_outdoor,suitable_for,avoid_tips,nearby_area,amap_poi_id,longitude,latitude,source,confidence,amap_name,amap_address,amap_type,amap_cityname,amap_adname,match_score,match_keyword,match_status
洪崖洞,洪崖洞民俗风貌区,重庆,渝中区,夜景,夜景|拍照|经典打卡|人多,90,晚上,节假日晚上,free,0,50,outdoor,第一次来重庆|情侣|拍照用户,节假日人流极大，不建议白天专门前往，适合晚上远景拍照,解放碑片区,B0FFG8V7SH,106.579027,29.562204,manual,0.85,洪崖洞民俗风貌区,嘉陵江滨江路88号(小什字地铁站9号口步行430米),风景名胜;风景名胜;风景名胜,重庆市,渝中区,120,洪崖洞,matched
解放碑,解放碑步行街,重庆,渝中区,商圈,经典打卡|商圈|美食|交通便利,90,全天,节假日高峰,free,0,100,outdoor,第一次来重庆|朋友|购物用户,本身游玩时间不长，更适合作为周边路线起点,解放碑片区,B0FFG33I2E,106.575329,29.557253,manual,0.85,解放碑步行街,民族路177号,购物服务;特色商业街;特色商业街,重庆市,渝中区,120,解放碑,matched
八一好吃街,八一路好吃街,重庆,渝中区,餐饮,美食|小吃|低预算|人多,75,中午,晚上|饭点高峰,low,30,80,outdoor,美食用户|低预算用户|朋友,热门小吃集中但排队较多，建议避开正饭点,解放碑片区,B0H27DWG7T,106.576999,29.554773,manual,0.82,古茗(渝中八一好吃街店),解放碑街道八一路八一美食街31号商铺,餐饮服务;冷饮店;冷饮店,重庆市,渝中区,85,八一好吃街,matched
千厮门大桥,千厮门嘉陵江大桥,重庆,渝中区,拍照点,夜景|拍照|洪崖洞机位|步行,45,晚上,节假日晚上,free,0,0,outdoor,拍照用户|情侣|第一次来重庆,适合拍洪崖洞远景，但节假日桥面人流较大,解放碑片区,B0FFGBJ8U6,106.576790,29.569264,manual,0.82,千厮门大桥,两江新区,地名地址信息;交通地名;立交桥,重庆市,两江新区,80,千厮门大桥,matched
山城步道,重庆山城步道,重庆,渝中区,citywalk,citywalk|历史人文|拍照|步行,120,上午|下午,雨天|高温中午,free,0,30,outdoor,citywalk用户|拍照用户|人文用户,台阶较多，穿舒适鞋，雨天不建议安排,山城步道片区,B001791SBK,106.566712,29.550481,manual,0.86,山城步道,中兴路234号旁,风景名胜;风景名胜;风景名胜,重庆市,渝中区,120,山城步道,matched
十八梯,十八梯传统风貌区,重庆,渝中区,景点,历史人文|拍照|商业街区|夜景,90,下午|晚上,节假日晚上,free,0,80,mixed,第一次来重庆|拍照用户|人文用户,商业化程度较高，适合与山城步道或解放碑串联,山城步道片区,B0LKFMT0MJ,106.572668,29.551154,manual,0.82,重庆十八梯传统风貌区-别洞观景,中兴路1号重庆十八梯传统风貌区,风景名胜;风景名胜相关;旅游景点,重庆市,渝中区,115,十八梯,matched
白象居,白象居居民楼,重庆,渝中区,拍照点,拍照|老重庆|居民楼|电影感,60,上午|下午,居民休息时段,free,0,0,outdoor,拍照用户|城市探索用户,居民区拍照需保持安静，不建议大声喧哗或长时间停留,解放碑片区,B001797GGV,106.585193,29.556103,manual,0.78,白象居,白象街1-6号(小什字地铁站7号口步行460米),商务住宅;住宅区;住宅小区,重庆市,渝中区,120,白象居,matched
湖广会馆,重庆湖广会馆,重庆,渝中区,人文景点,历史人文|建筑|室内外结合,90,上午|下午,闭馆前,medium,25,50,mixed,人文用户|亲子用户|第一次来重庆,需注意开放时间，适合与解放碑片区串联,解放碑片区,B0017822LZ,106.586915,29.557921,manual,0.80,湖广会馆,长江滨江路芭蕉园1号,风景名胜;风景名胜;国家级景点,重庆市,渝中区,120,湖广会馆,matched
来福士,重庆来福士广场,重庆,渝中区,商圈,商圈|购物|拍照|室内,90,下午|晚上,周末高峰,medium,50,200,indoor,购物用户|雨天用户|轻松游用户,消费偏中高，适合作为雨天或休息点,朝天门片区,B0FFFQLXRT,106.587247,29.564813,manual,0.80,重庆来福士广场,接圣街8号(地铁1号线朝天门2、3号出口),购物服务;商场;购物中心,重庆市,渝中区,120,来福士,matched
朝天门广场,朝天门,重庆,渝中区,景点,两江交汇|地标|拍照|江景,60,下午|晚上,高温中午,free,0,0,outdoor,第一次来重庆|拍照用户,广场游玩内容有限，建议与来福士或两江夜景组合,朝天门片区,B00170L11G,106.587866,29.566880,manual,0.78,重庆朝天门广场,朝千路1号,风景名胜;公园广场;城市广场,重庆市,渝中区,105,朝天门广场,matched
